阪神     14  6  1  .700  -
巨人     11  9  0  .550  3.0
広島     10  9  1  .526  0.5
ヤクルト 11 11  0  .500  0.5
中日      9 10  1  .473  0.5
横浜      5 15  1  .250  4.5
