阪神     18  9  1  .666  -
巨人     17 10  0  .629  1.0
ヤクルト 14 14  0  .500  0.0
広島     13 13  1  .500  3.5
中日     11 15  1  .423  2.0
横浜      7 19  1  .269  4.0
